"Accepted Symbol","Synonym Symbol","Scientific Name","Common Name","Category","Genus","Family","Family Common Name","Order","SubClass","Class","SubDivision","Division","Kingdom","Duration","Growth Habit","Active Growth Period","Shape and Orientation","Toxicity","Palatable Human"
"GLMA","","Glaux maritima","sea milkwort","Dicot","Glaux","Primulaceae","Primrose family","Primulales","Dilleniidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Prostrate","None","No"
"GLTR","","Gleditsia triacanthos","honeylocust","Dicot","Gleditsia","Fabaceae","Pea family","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Tree, Shrub","Spring and Summer","Rounded","None","No"
"GLBO","","Glyceria borealis","small floating mannagrass","Monocot","Glyceria","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring","Erect","None","No"
"GLCA","","Glyceria canadensis","rattlesnake mannagrass","Monocot","Glyceria","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring","Erect","None","No"
"GLST","","Glyceria striata","fowl mannagrass","Monocot","Glyceria","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring","Semi-Erect","None","No"
"GLMA4","","Glycine max","soybean","Dicot","Glycine","Fabaceae","Pea family","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Annual","Forb/herb","Summer","Erect","None","Yes"
"GLLE3","","Glycyrrhiza lepidota","American licorice","Dicot","Glycyrrhiza","Fabaceae","Pea family","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Erect","None","No"
"GUSA2","","Gutierrezia sarothrae","broom snakeweed","Dicot","Gutierrezia","Asteraceae","Aster family","Asterales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Subshrub, Shrub, Forb/herb","Spring and Summer","Erect","Slight","No"
"GYDI","","Gymnocladus dioicus","Kentucky coffeetree","Dicot","Gymnocladus","Fabaceae","Pea family","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Tree","Spring and Summer","Rounded","Severe","No"
"HAVI4","","Hamamelis virginiana","American witchhazel","Dicot","Hamamelis","Hamamelidaceae","Witch-hazel family","Hamamelidales","Hamamelididae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Tree, Shrub","Spring and Summer","Semi-Erect","None","Yes"
"HEAU","","Helenium autumnale","common sneezeweed","Dicot","Helenium","Asteraceae","Aster family","Asterales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Erect","Severe","No"
"HEFL","","Helenium flexuosum","purplehead sneezeweed","Dicot","Helenium","Asteraceae","Aster family","Asterales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring","Erect","None","No"
"HEAN3","","Helianthus annuus","common sunflower","Dicot","Helianthus","Asteraceae","Aster family","Asterales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Annual","Forb/herb","Summer","Erect","None","Yes"
"HEGR4","","Helianthus grosseserratus","sawtooth sunflower","Dicot","Helianthus","Asteraceae","Aster family","Asterales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring, Summer, Fall","Erect","None","Yes"
"HETU","","Helianthus tuberosus","Jerusalem artichoke","Dicot","Helianthus","Asteraceae","Aster family","Asterales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Erect","None","Yes"
"HEMA80","","Heracleum maximum","common cowparsnip","Dicot","Heracleum","Apiaceae","Carrot family","Apiales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Erect","Slight","Yes"
"HEMA3","","Hesperis matronalis","dames rocket","Dicot","Hesperis","Brassicaceae","Mustard family","Capparales","Dilleniidae","Magnoliopsida","","Magnoliophyta","Plantae","Biennial, Perennial","Forb/herb","Spring and Summer","Erect","None","No"
"HECOC8","","Hesperostipa comata ssp. comata","needle and thread","Monocot","Hesperostipa","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring","Semi-Erect","None","No"
"HEVI4","","Heterotheca villosa","hairy false goldenaster","Dicot","Heterotheca","Asteraceae","Aster family","Asterales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Subshrub, Forb/herb","Spring and Summer","Erect","None","No"
"HILA2","","Hibiscus laevis","halberdleaf rosemallow","Dicot","Hibiscus","Malvaceae","Mallow family","Malvales","Dilleniidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring, Summer, Fall","Erect","None","No"
"HIVU2","","Hippuris vulgaris","common mare's-tail","Dicot","Hippuris","Hippuridaceae","Mare's-tail family","Callitrichales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Erect","None","No"
"HOPU","","Hordeum pusillum","little barley","Monocot","Hordeum","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Annual","Graminoid","Spring","Erect","None","No"
"HOVU","","Hordeum vulgare","common barley","Monocot","Hordeum","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Annual","Graminoid","Fall, Winter and Spring","Erect","None","Yes"
"HUTO","","Hudsonia tomentosa","woolly beachheather","Dicot","Hudsonia","Cistaceae","Rock-rose family","Violales","Dilleniidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Subshrub, Shrub","Spring and Summer","Decumbent","None","No"
"HYGE","","Hypericum gentianoides","orangegrass","Dicot","Hypericum","Clusiaceae","Mangosteen family","Theales","Dilleniidae","Magnoliopsida","","Magnoliophyta","Plantae","Annual","Forb/herb","Spring, Summer, Fall","Erect","None","No"
"HYMU","","Hypericum mutilum","dwarf St. Johnswort","Dicot","Hypericum","Clusiaceae","Mangosteen family","Theales","Dilleniidae","Magnoliopsida","","Magnoliophyta","Plantae","Annual, Perennial","Forb/herb","Summer","Semi-Erect","None","No"
"HYPR","","Hypericum prolificum","shrubby St. Johnswort","Dicot","Hypericum","Clusiaceae","Mangosteen family","Theales","Dilleniidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Shrub, Subshrub","Spring and Summer","Erect","None","No"
"HYPU","","Hypericum punctatum","spotted St. Johnswort","Dicot","Hypericum","Clusiaceae","Mangosteen family","Theales","Dilleniidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Summer","Erect","None","No"
"HYHI2","","Hypoxis hirsuta","common goldstar","Monocot","Hypoxis","Liliaceae","Lily family","Liliales","Liliidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring","Erect","None","No"
"ILVE","","Ilex verticillata","common winterberry","Dicot","Ilex","Aquifoliaceae","Holly family","Celastrales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Tree, Shrub","Spring and Summer","Climbing","None","No"
"IMCA","","Impatiens capensis","jewelweed","Dicot","Impatiens","Balsaminaceae","Touch-me-not family","Geraniales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Annual","Forb/herb","Summer","Erect","None","No"
"IMPA","","Impatiens pallida","pale touch-me-not","Dicot","Impatiens","Balsaminaceae","Touch-me-not family","Geraniales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Annual","Forb/herb","Summer","Erect","None","No"
"IRMI","","Iris missouriensis","Rocky Mountain iris","Monocot","Iris","Iridaceae","Iris family","Liliales","Liliidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Summer","Erect","None","No"
"IRVI","","Iris virginica","Virginia iris","Monocot","Iris","Iridaceae","Iris family","Liliales","Liliidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring","Erect","None","No"
"JUCI","","Juglans cinerea","butternut","Dicot","Juglans","Juglandaceae","Walnut family","Juglandales","Hamamelididae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Tree","Spring and Summer","Erect","Slight","Yes"
"JUNI","","Juglans nigra","black walnut","Dicot","Juglans","Juglandaceae","Walnut family","Juglandales","Hamamelididae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Tree","Spring","Erect","Slight","Yes"
"JUAC","","Juncus acuminatus","tapertip rush","Monocot","Juncus","Juncaceae","Rush family","Juncales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring and Summer","Erect","None","No"
"JUAR4","","Juncus articulatus","jointleaf rush","Monocot","Juncus","Juncaceae","Rush family","Juncales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring and Summer","Erect","None","No"
"JUBR","","Juncus brachycarpus","whiteroot rush","Monocot","Juncus","Juncaceae","Rush family","Juncales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring and Summer","Erect","None","No"
"JUBR2","","Juncus brachycephalus","smallhead rush","Monocot","Juncus","Juncaceae","Rush family","Juncales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring, Summer, Fall","Semi-Erect","None","No"
"JUBU","","Juncus bufonius","toad rush","Monocot","Juncus","Juncaceae","Rush family","Juncales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Annual","Graminoid","Spring, Summer, Fall","Semi-Erect","None","No"
"JUCA3","","Juncus canadensis","Canadian rush","Monocot","Juncus","Juncaceae","Rush family","Juncales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring, Summer, Fall","Erect","None","No"
"JUEF","","Juncus effusus","common rush","Monocot","Juncus","Juncaceae","Rush family","Juncales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring","Erect","None","No"
"JUIN2","","Juncus interior","inland rush","Monocot","Juncus","Juncaceae","Rush family","Juncales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring and Summer","Erect","None","No"
"JULO","","Juncus longistylis","longstyle rush","Monocot","Juncus","Juncaceae","Rush family","Juncales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring and Summer","Erect","None","No"
"JUMA4","","Juncus marginatus","grassleaf rush","Monocot","Juncus","Juncaceae","Rush family","Juncales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring and Summer","Erect","None","No"
"JUNO2","","Juncus nodosus","knotted rush","Monocot","Juncus","Juncaceae","Rush family","Juncales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring","Erect","None","No"
"JUTE","","Juncus tenuis","poverty rush","Monocot","Juncus","Juncaceae","Rush family","Juncales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring and Summer","Erect","None","No"
"JUTO","","Juncus torreyi","Torrey's rush","Monocot","Juncus","Juncaceae","Rush family","Juncales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Summer","Erect","None","No"
"JUCO6","","Juniperus communis","common juniper","Gymnosperm","Juniperus","Cupressaceae","Cypress family","Pinales","","Pinopsida","","Coniferophyta","Plantae","Perennial","Tree, Shrub","Spring and Summer","Semi-Erect","None","No"
"JUHO2","","Juniperus horizontalis","creeping juniper","Gymnosperm","Juniperus","Cupressaceae","Cypress family","Pinales","","Pinopsida","","Coniferophyta","Plantae","Perennial","Subshrub","Spring and Summer","Prostrate","None","No"
"JUVI","","Juniperus virginiana","eastern redcedar","Gymnosperm","Juniperus","Cupressaceae","Cypress family","Pinales","","Pinopsida","","Coniferophyta","Plantae","Perennial","Tree","Spring and Summer","Conical","Slight","No"
"KAPO","","Kalmia polifolia","bog laurel","Dicot","Kalmia","Ericaceae","Heath family","Ericales","Dilleniidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Shrub","Spring and Summer","Decumbent","None","No"
"KOMA","","Koeleria macrantha","prairie Junegrass","Monocot","Koeleria","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring and Fall","Erect","None","No"
"LADE2","","Larix decidua","European larch","Gymnosperm","Larix","Pinaceae","Pine family","Pinales","","Pinopsida","","Coniferophyta","Plantae","Perennial","Tree","Spring and Summer","Erect","None","No"
"LALA","","Larix laricina","tamarack","Gymnosperm","Larix","Pinaceae","Pine family","Pinales","","Pinopsida","","Coniferophyta","Plantae","Perennial","Tree","Spring and Summer","Erect","None","No"
"LAJA","","Lathyrus japonicus","beach pea","Dicot","Lathyrus","Fabaceae","Pea family","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Vine, Forb/herb","Spring and Summer","Decumbent","None","No"
"LATU","","Lathyrus tuberosus","tuberous sweetpea","Dicot","Lathyrus","Fabaceae","Pea family","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Vine, Forb/herb","Spring and Summer","Decumbent","Slight","No"
"LEOR","","Leersia oryzoides","rice cutgrass","Monocot","Leersia","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Summer","Erect","None","No"
"LEVI2","","Leersia virginica","whitegrass","Monocot","Leersia","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring","Erect","None","No"
"LEMI3","","Lemna minor","common duckweed","Monocot","Lemna","Lemnaceae","Duckweed family","Arales","Arecidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Summer","Decumbent","None","No"
"LETR","","Lemna trisulca","star duckweed","Monocot","Lemna","Lemnaceae","Duckweed family","Arales","Arecidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Summer","Decumbent","None","No"
"LECA8","","Lespedeza capitata","roundhead lespedeza","Dicot","Lespedeza","Fabaceae","Pea family","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Summer","Erect","None","No"
"LEVU","","Leucanthemum vulgare","oxeye daisy","Dicot","Leucanthemum","Asteraceae","Aster family","Asterales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Erect","Slight","No"
"LECI4","","Leymus cinereus","basin wildrye","Monocot","Leymus","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring","Erect","None","No"
"LIPU","","Liatris punctata","dotted blazing star","Dicot","Liatris","Asteraceae","Aster family","Asterales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Summer","Erect","None","No"
"LIPY","","Liatris pycnostachya","prairie blazing star","Dicot","Liatris","Asteraceae","Aster family","Asterales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Summer","Erect","None","No"
"LILE3","","Linum lewisii","Lewis flax","Dicot","Linum","Linaceae","Flax family","Linales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Subshrub, Forb/herb","Spring","Erect","None","No"
"LICO5","","Listera convallarioides","broadlipped twayblade","Monocot","Listera","Orchidaceae","Orchid family","Orchidales","Liliidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Erect","None","No"
"LOCA2","","Lobelia cardinalis","cardinalflower","Dicot","Lobelia","Campanulaceae","Bellflower family","Campanulales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring","Erect","None","No"
"LOPE","","Lolium perenne","perennial ryegrass","Monocot","Lolium","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial, Annual","Graminoid","Spring and Fall","Erect","None","No"
"LOPEM2","","Lolium perenne ssp. multiflorum","Italian ryegrass","Monocot","Lolium","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Annual, Perennial","Graminoid","Spring and Summer","Erect","None","No"
"LOTA","","Lonicera tatarica","Tatarian honeysuckle","Dicot","Lonicera","Caprifoliaceae","Honeysuckle family","Dipsacales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Shrub","Spring and Summer","Erect","None","No"
"LOCO6","","Lotus corniculatus","bird's-foot trefoil","Dicot","Lotus","Fabaceae","Pea family","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Semi-Erect","None","No"
"LUPA","","Ludwigia palustris","marsh seedbox","Dicot","Ludwigia","Onagraceae","Evening Primrose family","Myrtales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Summer","Prostrate","None","No"
"LUPA4","","Luzula parviflora","smallflowered woodrush","Monocot","Luzula","Juncaceae","Rush family","Juncales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring and Summer","Erect","None","No"
"LYAN2","","Lycopodium annotinum","stiff clubmoss","Lycopod","Lycopodium","Lycopodiaceae","Club-moss family","Lycopodiales","","Lycopodiopsida","","Lycopodiophyta","Plantae","Perennial","Subshrub, Forb/herb","Spring, Summer, Fall","Erect","None","No"
"LYAM","","Lycopus americanus","American water horehound","Dicot","Lycopus","Lamiaceae","Mint family","Lamiales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Summer and Fall","Erect","None","No"
"LYAS","","Lycopus asper","rough bugleweed","Dicot","Lycopus","Lamiaceae","Mint family","Lamiales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Summer and Fall","Erect","None","No"
"LYVI4","","Lycopus virginicus","Virginia water horehound","Dicot","Lycopus","Lamiaceae","Mint family","Lamiales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Erect","None","No"
"MARE11","","Mahonia repens","creeping barberry","Dicot","Mahonia","Berberidaceae","Barberry family","Ranunculales","Magnoliidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Subshrub, Shrub","Spring","Semi-Erect","None","No"
"MAIO","","Malus ioensis","prairie crab apple","Dicot","Malus","Rosaceae","Rose family","Rosales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Tree, Shrub","Spring and Summer","Irregular","None","No"
"MELU","","Medicago lupulina","black medick","Dicot","Medicago","Fabaceae","Pea family","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Annual, Perennial","Forb/herb","Fall, Winter and Spring","Decumbent","None","No"
"MESA","","Medicago sativa","alfalfa","Dicot","Medicago","Fabaceae","Pea family","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Annual, Perennial","Forb/herb","Spring, Summer, Fall","Erect","None","Yes"
"MEOF","","Melilotus officinalis","sweetclover","Dicot","Melilotus","Fabaceae","Pea family","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Annual, Biennial, Perennial","Forb/herb","Spring and Summer","Erect","Moderate","No"
"MEAR4","","Mentha arvensis","wild mint","Dicot","Mentha","Lamiaceae","Mint family","Lamiales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring","Erect","None","No"
"METR3","","Menyanthes trifoliata","buckbean","Dicot","Menyanthes","Menyanthaceae","Buckbean family","Solanales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Semi-Erect","None","No"
"MEVI3","","Mertensia virginica","Virginia bluebells","Dicot","Mertensia","Boraginaceae","Borage family","Lamiales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring","Erect","None","No"
"MOFI","","Monarda fistulosa","wild bergamot","Dicot","Monarda","Lamiaceae","Mint family","Lamiales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Subshrub, Forb/herb","Spring","Erect","None","No"
"MONU","","Monolepis nuttalliana","Nuttall's povertyweed","Dicot","Monolepis","Chenopodiaceae","Goosefoot family","Caryophyllales","Caryophyllidae","Magnoliopsida","","Magnoliophyta","Plantae","Annual","Forb/herb","Spring and Summer","Decumbent","None","No"
"MOAL","","Morus alba","white mulberry","Dicot","Morus","Moraceae","Mulberry family","Urticales","Hamamelididae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Tree, Shrub","Spring and Summer","Rounded","None","No"
"MORU2","","Morus rubra","red mulberry","Dicot","Morus","Moraceae","Mulberry family","Urticales","Hamamelididae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Tree","Spring and Summer","Rounded","None","Yes"
"MUAS","","Muhlenbergia asperifolia","scratchgrass","Monocot","Muhlenbergia","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring, Summer, Fall","Decumbent","None","No"
"MUGL3","","Muhlenbergia glomerata","spiked muhly","Monocot","Muhlenbergia","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring, Summer, Fall","Semi-Erect","None","No"
"MUME2","","Muhlenbergia mexicana","Mexican muhly","Monocot","Muhlenbergia","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring, Summer, Fall","Semi-Erect","None","No"
"MURA","","Muhlenbergia racemosa","marsh muhly","Monocot","Muhlenbergia","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring, Summer, Fall","Semi-Erect","None","No"
"MURI","","Muhlenbergia richardsonis","mat muhly","Monocot","Muhlenbergia","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring and Summer","Decumbent","None","No"
"MUSC","","Muhlenbergia schreberi","nimblewill","Monocot","Muhlenbergia","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring","Erect","None","No"
"MUSY","","Muhlenbergia sylvatica","woodland muhly","Monocot","Muhlenbergia","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring, Summer, Fall","Semi-Erect","None","No"
"MUUN","","Muhlenbergia uniflora","bog muhly","Monocot","Muhlenbergia","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring and Summer","Semi-Erect","None","No"
"MYSC","","Myosotis scorpioides","true forget-me-not","Dicot","Myosotis","Boraginaceae","Borage family","Lamiales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Decumbent","None","No"
"MYMI2","","Myosurus minimus","tiny mousetail","Dicot","Myosurus","Ranunculaceae","Buttercup family","Ranunculales","Magnoliidae","Magnoliopsida","","Magnoliophyta","Plantae","Annual","Forb/herb","Spring and Summer","Semi-Erect","None","No"
"MYGA","","Myrica gale","sweetgale","Dicot","Myrica","Myricaceae","Bayberry family","Myricales","Hamamelididae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Shrub","Summer","Erect","None","No"
"NAFL","","Najas flexilis","nodding waternymph","Monocot","Najas","Najadaceae","Water-nymph family","Najadales","Alismatidae","Liliopsida","","Magnoliophyta","Plantae","Annual","Forb/herb","Spring, Summer, Fall","Semi-Erect","None","Yes"
"NAGU","","Najas guadalupensis","southern waternymph","Monocot","Najas","Najadaceae","Water-nymph family","Najadales","Alismatidae","Liliopsida","","Magnoliophyta","Plantae","Annual","Forb/herb","Summer","Prostrate","None","No"
"NELU","","Nelumbo lutea","American lotus","Dicot","Nelumbo","Nelumbonaceae","Lotus-lily family","Nymphaeales","Magnoliidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Summer","Erect","None","Yes"
"OEBI","","Oenothera biennis","common evening primrose","Dicot","Oenothera","Onagraceae","Evening Primrose family","Myrtales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Biennial","Forb/herb","Spring, Summer, Fall","Erect","None","No"
"ONVI","","Onobrychis viciifolia","sainfoin","Dicot","Onobrychis","Fabaceae","Pea family","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Erect","None","No"
"ORLU2","","Orthocarpus luteus","yellow owl's-clover","Dicot","Orthocarpus","Scrophulariaceae","Figwort family","Scrophulariales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Annual","Forb/herb","Spring and Summer","Erect","None","No"
"OSDE","","Osmorhiza depauperata","bluntseed sweetroot","Dicot","Osmorhiza","Apiaceae","Carrot family","Apiales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring, Summer, Fall","Erect","None","No"
"OSCI","","Osmunda cinnamomea","cinnamon fern","Fern","Osmunda","Osmundaceae","Royal Fern family","Polypodiales","","Filicopsida","","Pteridophyta","Plantae","Perennial","Forb/herb","Spring and Fall","Erect","None","No"
"OSCL2","","Osmunda claytoniana","interrupted fern","Fern","Osmunda","Osmundaceae","Royal Fern family","Polypodiales","","Filicopsida","","Pteridophyta","Plantae","Perennial","Forb/herb","Spring, Summer, Fall","Semi-Erect","None","No"
"OSRE","","Osmunda regalis","royal fern","Fern","Osmunda","Osmundaceae","Royal Fern family","Polypodiales","","Filicopsida","","Pteridophyta","Plantae","Perennial","Forb/herb","Spring, Summer, Fall","Semi-Erect","None","Yes"
"OSRES","","Osmunda regalis var. spectabilis","royal fern","Fern","Osmunda","Osmundaceae","Royal Fern family","Polypodiales","","Filicopsida","","Pteridophyta","Plantae","Perennial","Forb/herb","Spring","Erect","None","No"
"OSVI","","Ostrya virginiana","hophornbeam","Dicot","Ostrya","Betulaceae","Birch family","Fagales","Hamamelididae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Tree, Shrub","Spring and Summer","Erect","None","No"
"OXLA3","","Oxytropis lambertii","purple locoweed","Dicot","Oxytropis","Fabaceae","Pea family","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Semi-Erect","Severe","No"
"PATE11","","Pachysandra terminalis","Japanese pachysandra","Dicot","Pachysandra","Buxaceae","Boxwood family","Euphorbiales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Subshrub, Forb/herb","Spring and Summer","Erect","None","No"
"PACA15","","Packera cana","woolly groundsel","Dicot","Packera","Asteraceae","Aster family","Asterales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb, Subshrub","Spring and Summer","Erect","Moderate","No"
"PADI","","Panicum dichotomiflorum","fall panicgrass","Monocot","Panicum","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Annual","Graminoid","Summer and Fall","Semi-Erect","None","No"
"PAMI2","","Panicum miliaceum","proso millet","Monocot","Panicum","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Annual","Graminoid","Summer","Erect","None","No"
"PAVI2","","Panicum virgatum","switchgrass","Monocot","Panicum","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Summer","Erect","None","No"
"PAPA8","","Parnassia palustris","marsh grass of Parnassus","Dicot","Parnassia","Saxifragaceae","Saxifrage family","Rosales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Summer","Semi-Erect","None","No"
