"Accepted Symbol","Synonym Symbol","Scientific Name","Common Name","Category","Genus","Family","Family Common Name","Order","SubClass","Class","SubDivision","Division","Kingdom","Duration","Growth Habit","Active Growth Period","Shape and Orientation","Toxicity","Palatable Human"
"PAAN4","","Panicum antidotale","blue panicum","Monocot","Panicum","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Summer","Erect","None","No"
"PADI","","Panicum dichotomiflorum","fall panicgrass","Monocot","Panicum","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Annual","Graminoid","Summer and Fall","Semi-Erect","None","No"
"PAMI2","","Panicum miliaceum","proso millet","Monocot","Panicum","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Annual","Graminoid","Summer","Erect","None","No"
"PAOB","","Panicum obtusum","vine mesquite","Monocot","Panicum","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Summer","Erect","None","No"
"PAVI2","","Panicum virgatum","switchgrass","Monocot","Panicum","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Summer","Erect","None","No"
"PAPA8","","Parnassia palustris","marsh grass of Parnassus","Dicot","Parnassia","Saxifragaceae","Saxifrage family","Rosales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Summer","Semi-Erect","None","No"
"PASM","","Pascopyrum smithii","western wheatgrass","Monocot","Pascopyrum","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring, Summer, Fall","Semi-Erect","None","No"
"PADI3","","Paspalum dilatatum","dallisgrass","Monocot","Paspalum","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring","Decumbent","Slight","No"
"PADI6","","Paspalum distichum","knotgrass","Monocot","Paspalum","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring, Summer, Fall","Prostrate","None","No"
"PEAN","","Pectis angustifolia","lemonscent","Dicot","Pectis","Asteraceae","Aster family","Asterales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Annual","Forb/herb","Spring and Summer","Erect","None","No"
"PEGR2","","Pedicularis groenlandica","elephanthead lousewort","Dicot","Pedicularis","Scrophulariaceae","Figwort family","Scrophulariales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Erect","None","No"
"PECI","","Pennisetum ciliare","buffelgrass","Monocot","Pennisetum","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Summer and Fall","Erect","None","No"
"PEAN4","","Penstemon angustifolius","broadbeard beardtongue","Dicot","Penstemon","Scrophulariaceae","Figwort family","Scrophulariales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Subshrub, Forb/herb","Spring and Summer","Erect","Moderate","No"
"PEEA","","Penstemon eatonii","firecracker penstemon","Dicot","Penstemon","Scrophulariaceae","Figwort family","Scrophulariales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Erect","None","No"
"PERY","","Penstemon rydbergii","Rydberg's penstemon","Dicot","Penstemon","Scrophulariaceae","Figwort family","Scrophulariales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Subshrub, Forb/herb","Spring","Erect","Slight","No"
"PEST2","","Penstemon strictus","Rocky Mountain penstemon","Dicot","Penstemon","Scrophulariaceae","Figwort family","Scrophulariales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Erect","None","No"
"PEWH","","Penstemon whippleanus","Whipple's penstemon","Dicot","Penstemon","Scrophulariaceae","Figwort family","Scrophulariales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Subshrub, Forb/herb","Spring and Summer","Erect","None","No"
"PEPA21","","Perideridia parishii","Parish's yampah","Dicot","Perideridia","Apiaceae","Carrot family","Apiales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Summer","Erect","None","Yes"
"PHTA","","Phacelia tanacetifolia","lacy phacelia","Dicot","Phacelia","Hydrophyllaceae","Waterleaf family","Solanales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Annual","Forb/herb","Spring","Erect","None","No"
"PHAQ","","Phalaris aquatica","bulbous canarygrass","Monocot","Phalaris","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Fall, Winter and Spring","Erect","None","No"
"PHAR3","","Phalaris arundinacea","reed canarygrass","Monocot","Phalaris","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring, Summer, Fall","Erect","Slight","No"
"PHMI4","","Philadelphus microphyllus","littleleaf mock orange","Dicot","Philadelphus","Hydrangeaceae","Hydrangea family","Rosales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Shrub","Spring and Summer","Erect","None","No"
